Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
6c0c3176		Kinetic Text Tags Ren'Py Module 2021 Daniel Westfall <SoDaRa2595@gmail.com>	game/kinetic_text_tags.rpy	1	"[what]"
8689f4cd		http://twitter.com/sodara9 I'd appreciate being given credit if you do end up using it! :D Would really make my day to know I helped some people out! Really hope this can help the community create some really neat ways to spice up their dialogue! http://opensource.org/licenses/mit-license.php Github: https://github.com/SoDaRa/Kinetic-Text-Tags itch.io: https://wattson.itch.io/kinetic-text-tags Forum Post: https://lemmasoft.renai.us/forums/viewtopic.php?f=51&t=60527&sid=75b4eb1aa5212a33cbfe9b0354e5376b	game/kinetic_text_tags.rpy	1	"[what]"
BotchedEscapeScene_9d0ecd53		You're left with your own thoughts as Ashina departs upstairs. You begin to wander the cabin aimlessly.	game/story/botched_escape_scene.rpy	8	"[what]"
BotchedEscapeScene_edd6df56		You realize the front door is open.	game/story/botched_escape_scene.rpy	15	"[what]"
BotchedEscapeScene_767e0d56		Ashina should be asleep by now. This is your chance to escape and bring back help for Cameron.	game/story/botched_escape_scene.rpy	20	"[what]"
BotchedEscapeScene_4cc7d7b2		It would be nice to get some fresh air. You've been stuck inside for a couple days now, and you can’t help feeling a bit claustrophobic.	game/story/botched_escape_scene.rpy	24	"[what]"
BotchedEscapeScene_6d4ac355		You lean out of the open door as quietly as possible to find…	game/story/botched_escape_scene.rpy	28	"[what]"
BotchedEscapeScene_3a3b2b3c	you	…Nothing?	game/story/botched_escape_scene.rpy	38	you "[what]"
BotchedEscapeScene_56ea0a48		You take a few cautious steps outside, thinking your eyes must be playing tricks on you. Where did all the dogs go? Was this another lucky break, like when Cameron snuck in?	game/story/botched_escape_scene.rpy	44	"[what]"
BotchedEscapeScene_1beddbf1		You continue on, making it to the edge of the forest. You can hear your heart pounding in your chest. Were you really able to just… walk out of here?	game/story/botched_escape_scene.rpy	51	"[what]"
BotchedEscapeScene_094eab8a		As you move into the foliage, you're stopped dead in your tracks. A silver arrow is aimed square between your eyes. The wielder of the bow is a sharp-eyed, hooded figure with hair black as night.	game/story/botched_escape_scene.rpy	61	"[what]"
BotchedEscapeScene_e58d9d0f	aki	Don't you dare move, monster!	game/story/botched_escape_scene.rpy	65	aki "[what]"
BotchedEscapeScene_ca61e685		You put your hands up in the most placating gesture you can manage.	game/story/botched_escape_scene.rpy	67	"[what]"
BotchedEscapeScene_35f4f675	you	Monster…? Uh, I think this is a misunderstanding, maybe we could just-	game/story/botched_escape_scene.rpy	69	you "[what]"
BotchedEscapeScene_f15f8a3f	aki	Stop. You will not fool me. I know you.	game/story/botched_escape_scene.rpy	73	aki "[what]"
BotchedEscapeScene_4a77b87b	aki	I will have no mercy on you. Your death shall be painful, I will make sure of it. You will suffer for every life you have stolen, and I will have my revenge. You chose the wrong night to leave your little fortress, and now, you will finally pay.	game/story/botched_escape_scene.rpy	77	aki "[what]"
